date,4. close
2020-12-08,105.64
2020-12-07,106.39
2020-12-04,103.73
2020-12-03,99.5
2020-12-02,99.54
2020-12-01,100.86
2020-11-30,97.02
2020-11-27,98.74
2020-11-25,97.49
2020-11-24,96.64
2020-11-23,98.13
2020-11-20,95.33
2020-11-19,96.61
2020-11-18,96.93
2020-11-17,95.71
2020-11-16,99.27
2020-11-13,93.22
2020-11-12,89.82
2020-11-11,90.88
2020-11-10,87.66
2020-11-09,89.03
2020-11-06,91.41
2020-11-05,90.43
2020-11-04,89.45
2020-11-03,87.69
2020-11-02,85.71
2020-10-30,83.87
2020-10-29,84.89
2020-10-28,83.85
2020-10-27,86.71
2020-10-26,86.73
2020-10-23,88.31
2020-10-22,88.21
2020-10-21,87.64
2020-10-20,88.26
2020-10-19,87.56
2020-10-16,86.7
2020-10-15,88.15
2020-10-14,88.6
2020-10-13,89.64
2020-10-12,90.91
2020-10-09,88.78
2020-10-08,87.8
2020-10-07,86.92
2020-10-06,83.12
2020-10-05,84.54
2020-10-02,80.8
2020-10-01,82.62
2020-09-30,81.07
2020-09-29,80.51
2020-09-28,79.77
2020-09-25,78.88
2020-09-24,78.38
2020-09-23,77.92
2020-09-22,80.48
2020-09-21,80.59
2020-09-18,80.23
2020-09-17,81.91
2020-09-16,83.13
2020-09-15,85.85
2020-09-14,80.5
2020-09-11,78.82
2020-09-10,78.9
2020-09-09,79.4
2020-09-08,77.32
2020-09-04,78.91
2020-09-03,81.18
2020-09-02,82.17
2020-09-01,81.55
2020-08-31,79.25
2020-08-28,80.44
2020-08-27,80.6
2020-08-26,81.75
2020-08-25,80.04
2020-08-24,78.9
2020-08-21,78.34
2020-08-20,76.81
2020-08-19,78.54
2020-08-18,79.41
2020-08-17,80.19
2020-08-14,78.41
2020-08-13,78.3
2020-08-12,79.39
2020-08-11,77.94
2020-08-10,79.87
2020-08-07,80.03
2020-08-06,80.52
2020-08-05,81.63
2020-08-04,80.19
2020-08-03,78.95
2020-07-31,78.89
2020-07-30,79.93
2020-07-29,82.67
2020-07-28,76.92
2020-07-27,83.25
2020-07-24,73.9
2020-07-23,67.37
2020-07-22,68.53
2020-07-21,67.81
2020-07-20,66.89
